post_id,title,category,score,num_comments,author,collected_at
47647455,Talk like caveman,entertainment,37,17,tosh,2026-04-05 16:04:47
47640728,Show HN: A game where you build a GPU,technology,766,159,Jaso1024,2026-04-05 16:04:51
47645432,Introduction to Computer Music (2009) [pdf],technology,161,53,luu,2026-04-05 16:04:53
47644406,German implementation of eIDAS will require an Apple/Google account to function,technology,279,239,DyslexicAtheist,2026-04-05 16:04:55
47640875,"LLM Wiki – example of an ""idea file""",technology,201,61,tamnd,2026-04-05 16:05:02
47587089,"Zml-smi: universal monitoring tool for GPUs, TPUs and NPUs",technology,46,7,steeve,2026-04-05 16:05:10
47598835,Rubysyn: Clarifying Ruby's Syntax and Semantics,entertainment,49,5,petalmind,2026-04-05 16:05:16
47642569,How many products does Microsoft have named 'Copilot'?,technology,649,311,gpi,2026-04-05 16:05:18
47613118,Show HN: I built a small app for FSI German Course,technology,37,10,syedmsawaid,2026-04-05 16:05:19
47644864,"AWS engineer reports PostgreSQL perf halved by Linux 7.0, fix may not be easy",technology,297,90,crcastle,2026-04-05 16:05:21
47645025,"Show HN: Contrapunk – Real-time counterpoint harmony from guitar input, in Rust",entertainment,72,30,waveywaves,2026-04-05 16:05:23
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,10,1,lexalizer,2026-04-05 16:05:25
47609117,Ask HN: Is there any interest in a native Qt/C++ Discord client?,worldnews,5,5,txtsd,2026-04-05 16:05:29
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,108,10,kaipereira,2026-04-05 16:05:32
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",technology,159,79,jrandolf,2026-04-05 16:05:38
47646363,Modern Generic SVGA driver for Windows 3.1,sports,43,9,userbinator,2026-04-05 16:05:45
47639291,The Indie Internet Index – submit your favorite sites,technology,148,28,freshman_dev,2026-04-05 16:05:48
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,technology,86,13,laszlokorte,2026-04-05 16:05:58
47604887,Electrical transformer manufacturing is throttling the electrified future,worldnews,88,79,toomuchtodo,2026-04-05 16:06:01
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,436,194,naves,2026-04-05 16:06:04
47644566,"Advice to young people, the lies I tell myself (2024)",worldnews,112,31,mooreds,2026-04-05 16:06:10
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,technology,154,6,teamchong,2026-04-05 16:06:12
47637757,Embarrassingly simple self-distillation improves code generation,technology,600,181,Anon84,2026-04-05 16:06:15
47638075,"The CMS is dead, long live the CMS",worldnews,142,88,taubek,2026-04-05 16:06:17
47606244,Training mRNA Language Models Across 25 Species for $165,technology,138,32,maziyar,2026-04-05 16:06:23
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1050,797,firloop,2026-04-05 16:06:24
47631118,Artemis II crew take “spectacular” image of Earth,science,1038,356,andsoitis,2026-04-05 16:06:26
47611993,VR Realizes the Cyberspace Metaphor,worldnews,14,8,dryadin,2026-04-05 16:06:28
47641141,IBM 3270 Information Display System: Color and Programmed Symbols (1979) [pdf],technology,47,12,hggh,2026-04-05 16:06:29
47644808,The machines are fine. I'm worried about us,worldnews,22,2,Plasmoid,2026-04-05 16:06:31
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,12,1,andsoitis,2026-04-05 16:06:32
47644667,Nvim-treesitter (13K+ Stars) is Archived,entertainment,128,47,RohanAdwankar,2026-04-05 16:06:34
47645235,Brain scans reveal how to enters a psychedelic-like trance without drugs,technology,52,13,ingenika,2026-04-05 16:06:38
47636435,Emotion concepts and their function in a large language model,worldnews,174,169,dnw,2026-04-05 16:06:39
47639524,"Author of ""Careless People"" banned from saying anything negative about Meta",worldnews,796,515,macleginn,2026-04-05 16:06:43
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,198,131,pseudolus,2026-04-05 16:06:44
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,396,246,eichin,2026-04-05 16:06:46
47610590,The East India Company in Japan,worldnews,10,2,Thevet,2026-04-05 16:06:50
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,31,17,1659447091,2026-04-05 16:06:53
47616361,Google releases Gemma 4 open models,technology,1775,462,jeffmcjunkin,2026-04-05 16:06:57
47641464,Scientists observe an immune signaling complex forming inside cells,science,109,7,ohjeez,2026-04-05 16:07:00
47641615,Sopwith – 1984 Game (2000),sports,93,41,elvis70,2026-04-05 16:07:02
47645468,Writing Lisp is AI resistant and I'm sad,technology,66,69,djha-skin,2026-04-05 16:07:04
47604698,Functional programming accelerates agentic feature development,technology,46,21,cyrusradfar,2026-04-05 16:07:06
47640775,Why the most valuable things you know are things you cannot say,worldnews,149,50,nr378,2026-04-05 16:07:14
47644934,"Delve claiming that whistleblower was part of a ""targeted cyberattack""",technology,5,1,rrvsh,2026-04-05 16:07:16
47625952,Show HN: I built a frontpage for personal blogs,entertainment,757,190,ramkarthikk,2026-04-05 16:07:24
47597366,The most-disliked people in the publishing industry,worldnews,92,64,Caiero,2026-04-05 16:07:27
47601194,"The Cathedral, the Bazaar, and the Winchester Mystery House",worldnews,181,63,dbreunig,2026-04-05 16:07:33
47633116,The house is a work of art: Frank Lloyd Wright,worldnews,111,63,midnightfish,2026-04-05 16:07:35
47633157,Fake Fans,sports,152,60,performative,2026-04-05 16:07:39
47643656,The Oxygen Apocalpyse: how bacteria used a spin diode to wipe out ancient life,worldnews,21,4,KR_compchem,2026-04-05 16:07:42
47639976,German men 18-45 need military permit for extended stays abroad,entertainment,372,654,L_226,2026-04-05 16:07:47
47642275,"Netflix must refund customers for years of price hikes, Italian court rules",worldnews,58,5,xbmcuser,2026-04-05 16:07:49
47624804,Category Theory Illustrated – Types,worldnews,108,19,boris_m,2026-04-05 16:07:56
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,worldnews,533,180,detaro,2026-04-05 16:08:02
47601992,The smallest ELF executable (2021),worldnews,37,2,michelangelo,2026-04-05 16:08:04
47640431,What life looks like on the most remote inhabited island,worldnews,89,23,brightbeige,2026-04-05 16:08:07
47645180,The secrets of black holes and the Higgs mass could be hidden in a 7D geometry,worldnews,16,0,teleforce,2026-04-05 16:08:10
47603657,Artemis II Launch Day Updates,entertainment,1093,951,apitman,2026-04-05 16:08:14
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,60,angst,2026-04-05 16:08:18
47629485,A case study in testing with 100+ Claude agents in parallel,science,51,46,thejash,2026-04-05 16:08:21
47641277,A new gene therapy is giving people born deaf the chance to hear,worldnews,49,5,bilsbie,2026-04-05 16:08:23
47637010,The Last Quiet Thing,worldnews,18,1,coinfused,2026-04-05 16:08:27
47626462,Big-Endian Testing with QEMU,science,113,127,jandeboevrie,2026-04-05 16:08:49
47638532,"Show HN: Ownscribe – local meeting transcription, summarization and search",entertainment,11,0,paberr,2026-04-05 16:09:04
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,11,5,bookmtn,2026-04-05 16:09:18
47630109,Firm boosts H.264 streaming license fees from $100k up to staggering $4.5M,entertainment,187,71,MaximilianEmel,2026-04-05 16:09:30
47640770,Show HN: DocMason – Agent Knowledge Base for local complex office files,entertainment,7,0,Jet_Xu,2026-04-05 16:09:31
47609356,Artemis II's toilet is a moon mission milestone,entertainment,325,170,1659447091,2026-04-05 16:09:44
47632692,Show HN: Mtproto.zig – High-performance Telegram proxy with DPI evasion,entertainment,21,14,slp3r,2026-04-05 16:10:18
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,152,117,kasparnoor,2026-04-05 16:10:25
47631030,Show HN: Ismcpdead.com – Live dashboard tracking MCP adoption and sentiment,entertainment,35,23,sagirodin,2026-04-05 16:10:34
47641164,Polymarket apologizes for allowing wagers on fate of U.S. pilots downed in Iran,sports,29,23,ceejayoz,2026-04-05 16:10:37
47621438,Show HN: Made a little Artemis II tracker,entertainment,149,56,codingmoh,2026-04-05 16:10:39
47615449,Artemis II will use laser beams to live-stream 4K moon footage at 260 Mbps,entertainment,373,152,speckx,2026-04-05 16:10:43
47604155,SpaceX files to go public,science,397,572,nutjob2,2026-04-05 16:11:03
47592068,Why Inventing Color TV Was So Difficult [video],entertainment,42,12,DamnInteresting,2026-04-05 16:11:08
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,entertainment,75,4,nemoniac,2026-04-05 16:11:48
47631648,Automatic Textbook Formalization,entertainment,43,17,tzury,2026-04-05 16:11:50
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,entertainment,202,56,tjgreen,2026-04-05 16:12:03
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,entertainment,113,65,rdme,2026-04-05 16:12:10
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),entertainment,39,22,Realman78,2026-04-05 16:12:29
47588349,GitHub Monaspace Case Study,science,146,50,homebrewer,2026-04-05 16:13:42
47624270,Q148637: Windows 95/98 Overwrites Boot-Sector Field on Floppy Disks (2001),sports,10,3,TMWNN,2026-04-05 16:13:59
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),sports,40,6,ruevs,2026-04-05 16:14:10
47613272,Tracing Goroutines in Realtime with eBPF,sports,17,0,darccio,2026-04-05 16:14:38
47636233,"Uber engineer alleges hostile 'boys club' culture, firing after cancer leave",sports,21,1,nickvec,2026-04-05 16:15:05
47607468,Tracing goroutines in realtime with eBPF,sports,23,3,sazak,2026-04-05 16:15:14
47629385,Artemis II Looking Back at Earth,science,24,3,DarmokJalad1701,2026-04-05 16:16:01
47617852,Show HN: Adentris (YC P25) – Find mistakes in your medical records,science,15,3,digitaltzar,2026-04-05 16:16:30
47624879,Switzerland hosts 'CERN of semiconductor research',science,34,6,teleforce,2026-04-05 16:16:42
47642779,Big Banks Seeking a Piece of SpaceX's IPO Must Subscribe to Elon Musk's Grok,science,11,0,codydh,2026-04-05 16:18:45
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,12,4,Edward9055,2026-04-05 16:18:51
47621557,Show HN: SkiFlee (an HTML5 game),sports,8,9,BSTRhino,2026-04-05 16:19:03
47621304,Brazil Joins Elite Club of Advanced Fighter Producers: First Home-Built Gripen E,sports,7,0,teleforce,2026-04-05 16:19:15
47609725,Show HN: NASA Artemis II Mission Timeline Tracker,science,93,17,AustinDev,2026-04-05 16:19:38
47620867,Proton Workspace: An encrypted suite for team collaboration,sports,26,4,teekert,2026-04-05 16:20:41
